code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_registration,date_unregistration,submitted_count,mean_score,on_time_rate,assessment_type_count,available_assessments,total_clicks,active_days,activity_type_count,submission_ratio,persisted,imd_num,Disabled,Low-IMD,Low prior education,Repeat attempt,signature,adverse_outcome
BBB,2013B,23629,F,East Anglian Region,Lower Than A Level,20-30%,0-35,2,60,N,Fail,-47.0,,4.0,82.5,0.25,2.0,12,161.0,16.0,5.0,0.3333333333333333,1,20.0,False,True,True,True,medium|moderate|partial|mostly_late|persisted,1
BBB,2013B,25107,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,120,N,Pass,-73.0,,11.0,77.36363636363636,0.45454545454545453,2.0,12,2562.0,115.0,9.0,0.9166666666666666,1,20.0,False,True,True,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,27891,M,Scotland,Lower Than A Level,0-10%,0-35,2,120,Y,Withdrawn,-58.0,153.0,6.0,69.16666666666667,0.3333333333333333,2.0,12,301.0,21.0,7.0,0.5,0,0.0,True,True,True,True,medium|broad|partial|mostly_late|withdrew,1
BBB,2013B,29144,M,South Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,-24.0,,9.0,73.22222222222223,0.3333333333333333,2.0,12,1914.0,123.0,8.0,0.75,1,60.0,False,False,True,False,high|broad|complete|mostly_late|persisted,1
BBB,2013B,31663,M,North Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,-60.0,,11.0,79.27272727272727,0.45454545454545453,2.0,12,5906.0,222.0,9.0,0.9166666666666666,1,30.0,False,False,False,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,33666,F,London Region,A Level or Equivalent,10-20,0-35,1,60,N,Withdrawn,-23.0,139.0,4.0,78.66666666666667,0.5,2.0,12,1208.0,66.0,8.0,0.3333333333333333,0,10.0,False,True,False,True,high|broad|partial|mostly_on_time|withdrew,1
BBB,2013B,34229,F,Ireland,A Level or Equivalent,0-10%,35-55,2,120,N,Pass,-58.0,,9.0,88.0,0.2222222222222222,2.0,12,706.0,50.0,7.0,0.75,1,0.0,False,True,False,True,high|broad|complete|mostly_late|persisted,0
BBB,2013B,34353,M,Scotland,A Level or Equivalent,70-80%,35-55,0,120,Y,Fail,-16.0,,10.0,90.6,0.5,2.0,12,391.0,32.0,6.0,0.8333333333333334,1,70.0,True,False,False,False,medium|broad|complete|mostly_on_time|persisted,1
BBB,2013B,34431,F,Yorkshire Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-24.0,27.0,1.0,80.0,0.0,1.0,12,192.0,13.0,6.0,0.08333333333333333,0,70.0,False,False,True,False,medium|broad|partial|mostly_late|withdrew,1
BBB,2013B,34694,M,West Midlands Region,A Level or Equivalent,10-20,35-55,1,60,N,Withdrawn,-55.0,-54.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,10.0,False,True,False,True,none|none|none|none|withdrew,1
BBB,2013B,34756,F,East Midlands Region,Lower Than A Level,10-20,0-35,1,150,N,Withdrawn,-43.0,59.0,3.0,67.33333333333333,0.3333333333333333,2.0,12,129.0,11.0,6.0,0.25,0,10.0,False,True,True,True,medium|broad|partial|mostly_late|withdrew,1
BBB,2013B,34863,F,London Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,-65.0,,11.0,73.9090909090909,0.36363636363636365,2.0,12,198.0,19.0,7.0,0.9166666666666666,1,50.0,False,False,False,False,medium|broad|complete|mostly_late|persisted,0
BBB,2013B,35812,F,East Anglian Region,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-53.0,,1.0,71.0,1.0,1.0,12,19.0,3.0,4.0,0.08333333333333333,1,30.0,False,False,True,False,low|moderate|partial|mostly_on_time|persisted,1
BBB,2013B,39655,F,Scotland,Lower Than A Level,50-60%,0-35,0,120,N,Distinction,-22.0,,11.0,83.0909090909091,0.5454545454545454,2.0,12,432.0,34.0,7.0,0.9166666666666666,1,50.0,False,False,True,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,50993,F,Scotland,Lower Than A Level,0-10%,0-35,0,60,Y,Fail,-53.0,,9.0,46.22222222222222,0.4444444444444444,2.0,12,176.0,23.0,6.0,0.75,1,0.0,True,True,True,False,medium|broad|complete|mostly_late|persisted,1
BBB,2013B,52899,F,East Midlands Region,Lower Than A Level,50-60%,35-55,0,60,N,Withdrawn,-117.0,86.0,2.0,76.0,0.0,2.0,12,928.0,24.0,8.0,0.16666666666666666,0,50.0,False,False,True,False,high|broad|partial|mostly_late|withdrew,1
BBB,2013B,58089,F,West Midlands Region,A Level or Equivalent,40-50%,0-35,2,90,N,Fail,-58.0,,2.0,87.5,0.5,2.0,12,102.0,6.0,6.0,0.16666666666666666,1,40.0,False,False,False,True,medium|broad|partial|mostly_on_time|persisted,1
BBB,2013B,62631,F,North Western Region,A Level or Equivalent,20-30%,0-35,0,60,N,Fail,-45.0,,7.0,80.42857142857143,0.2857142857142857,2.0,12,525.0,33.0,7.0,0.5833333333333334,1,20.0,False,True,False,False,high|broad|partial|mostly_late|persisted,1
BBB,2013B,70608,F,South East Region,HE Qualification,70-80%,35-55,0,240,N,Distinction,-17.0,,11.0,84.18181818181819,0.45454545454545453,2.0,12,270.0,27.0,7.0,0.9166666666666666,1,70.0,False,False,False,False,medium|broad|complete|mostly_late|persisted,0
BBB,2013B,71433,F,North Western Region,A Level or Equivalent,50-60%,0-35,1,150,N,Fail,-19.0,,0.0,0.0,0.0,0.0,12,60.0,8.0,5.0,0.0,1,50.0,False,False,False,True,low|moderate|none|none|persisted,1
BBB,2013B,72070,M,South East Region,A Level or Equivalent,60-70%,35-55,0,60,N,Withdrawn,-24.0,10.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,60.0,False,False,False,False,none|none|none|none|withdrew,1
BBB,2013B,74695,F,North Region,Lower Than A Level,40-50%,0-35,0,90,N,Distinction,-64.0,,10.0,91.8,0.5,2.0,12,3679.0,122.0,9.0,0.8333333333333334,1,40.0,False,False,True,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,74734,F,North Western Region,Lower Than A Level,0-10%,0-35,0,180,N,Pass,2.0,,10.0,83.0,0.5,2.0,12,208.0,34.0,8.0,0.8333333333333334,1,0.0,False,True,True,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,75399,F,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,-24.0,,10.0,72.9,0.5,2.0,12,489.0,49.0,8.0,0.8333333333333334,1,60.0,False,False,True,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,78645,F,East Anglian Region,Lower Than A Level,40-50%,0-35,0,60,N,Fail,-28.0,,4.0,73.25,0.5,2.0,12,426.0,40.0,8.0,0.3333333333333333,1,40.0,False,False,True,False,medium|broad|partial|mostly_on_time|persisted,1
BBB,2013B,79378,F,London Region,Lower Than A Level,20-30%,35-55,4,120,Y,Fail,-24.0,,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1,20.0,True,True,True,True,none|none|none|none|persisted,1
BBB,2013B,82535,F,Wales,Lower Than A Level,20-30%,0-35,0,180,N,Pass,-19.0,,11.0,68.45454545454545,0.5454545454545454,2.0,12,352.0,45.0,6.0,0.9166666666666666,1,20.0,False,True,True,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,82741,F,East Anglian Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,-60.0,,11.0,74.9090909090909,0.45454545454545453,2.0,12,879.0,43.0,7.0,0.9166666666666666,1,50.0,False,False,True,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,83254,F,London Region,HE Qualification,10-20,35-55,0,60,N,Pass,-51.0,,11.0,73.0,0.18181818181818182,2.0,12,954.0,70.0,8.0,0.9166666666666666,1,10.0,False,True,False,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,84245,M,Wales,A Level or Equivalent,50-60%,0-35,0,120,N,Distinction,-27.0,,10.0,87.1,0.6,2.0,12,657.0,74.0,7.0,0.8333333333333334,1,50.0,False,False,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,84664,F,North Western Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,-92.0,,10.0,89.2,0.5,2.0,12,495.0,35.0,9.0,0.8333333333333334,1,60.0,False,False,False,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,86291,F,Wales,HE Qualification,50-60%,35-55,0,60,N,Withdrawn,-15.0,72.0,1.0,87.0,0.0,1.0,12,69.0,3.0,2.0,0.08333333333333333,0,50.0,False,False,False,False,low|narrow|partial|mostly_late|withdrew,1
BBB,2013B,87604,F,West Midlands Region,A Level or Equivalent,30-40%,0-35,0,180,N,Withdrawn,-111.0,-75.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,30.0,False,False,False,False,none|none|none|none|withdrew,1
BBB,2013B,87732,M,East Midlands Region,A Level or Equivalent,30-40%,35-55,0,75,N,Pass,-66.0,,10.0,78.6,0.4,2.0,12,1018.0,83.0,7.0,0.8333333333333334,1,30.0,False,False,False,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,88580,F,London Region,Lower Than A Level,10-20,0-35,0,60,N,Withdrawn,-23.0,-8.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,10.0,False,True,True,False,none|none|none|none|withdrew,1
BBB,2013B,91322,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,-19.0,,10.0,82.2,0.5,2.0,12,1616.0,64.0,8.0,0.8333333333333334,1,40.0,False,False,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,92274,F,East Anglian Region,Lower Than A Level,60-70%,0-35,0,60,N,Withdrawn,-96.0,132.0,5.0,66.4,0.4,2.0,12,447.0,26.0,8.0,0.4166666666666667,0,60.0,False,False,True,False,medium|broad|partial|mostly_late|withdrew,1
BBB,2013B,92832,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-65.0,,10.0,76.1,0.5,2.0,12,1067.0,100.0,7.0,0.8333333333333334,1,20.0,False,True,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,92947,F,Wales,HE Qualification,10-20,35-55,0,120,N,Distinction,-227.0,,10.0,81.5,0.5,2.0,12,1350.0,129.0,8.0,0.8333333333333334,1,10.0,False,True,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,92993,F,East Anglian Region,Lower Than A Level,10-20,0-35,3,135,N,Pass,-43.0,,10.0,76.7,0.5,2.0,12,974.0,49.0,7.0,0.8333333333333334,1,10.0,False,True,True,True,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,94616,F,South Region,Lower Than A Level,80-90%,0-35,1,60,N,Fail,-22.0,,9.0,77.44444444444444,0.1111111111111111,2.0,12,199.0,29.0,7.0,0.75,1,80.0,False,False,True,True,medium|broad|complete|mostly_late|persisted,1
BBB,2013B,96291,F,South Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,-51.0,42.0,0.0,0.0,0.0,0.0,12,103.0,4.0,5.0,0.0,0,70.0,False,False,True,False,medium|moderate|none|none|withdrew,1
BBB,2013B,97154,F,North Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-50.0,,10.0,90.7,0.5,2.0,12,984.0,37.0,7.0,0.8333333333333334,1,20.0,False,True,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,98313,F,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,-22.0,,11.0,80.72727272727273,0.45454545454545453,2.0,12,145.0,10.0,5.0,0.9166666666666666,1,30.0,False,False,False,False,medium|moderate|complete|mostly_late|persisted,0
BBB,2013B,102849,F,East Anglian Region,A Level or Equivalent,20-30%,35-55,0,180,N,Withdrawn,-51.0,-4.0,0.0,0.0,0.0,0.0,12,1.0,1.0,1.0,0.0,0,20.0,False,True,False,False,low|narrow|none|none|withdrew,1
BBB,2013B,104054,F,South East Region,Lower Than A Level,90-100%,35-55,0,120,N,Distinction,-19.0,,11.0,94.63636363636364,0.5454545454545454,2.0,12,1451.0,95.0,8.0,0.9166666666666666,1,90.0,False,False,True,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,108377,F,South Region,Lower Than A Level,30-40%,35-55,0,120,Y,Pass,-53.0,,10.0,78.6,0.4,2.0,12,2399.0,150.0,9.0,0.8333333333333334,1,30.0,True,False,True,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,108589,F,Ireland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,-108.0,,11.0,88.72727272727273,0.5454545454545454,2.0,12,411.0,39.0,7.0,0.9166666666666666,1,70.0,False,False,False,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,109938,F,Wales,HE Qualification,60-70%,0-35,0,120,N,Distinction,-44.0,,11.0,89.81818181818181,0.5454545454545454,2.0,12,396.0,49.0,8.0,0.9166666666666666,1,60.0,False,False,False,False,medium|broad|complete|mostly_on_time|persisted,0
BBB,2013B,110881,F,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,60,N,Pass,-43.0,,11.0,77.9090909090909,0.45454545454545453,2.0,12,754.0,71.0,8.0,0.9166666666666666,1,40.0,False,False,False,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,116603,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Distinction,-28.0,,10.0,90.4,0.5,2.0,12,1179.0,86.0,7.0,0.8333333333333334,1,20.0,False,True,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,117071,M,London Region,A Level or Equivalent,40-50%,35-55,0,60,N,Fail,-25.0,,2.0,73.0,0.0,2.0,12,74.0,5.0,5.0,0.16666666666666666,1,40.0,False,False,False,False,low|moderate|partial|mostly_late|persisted,1
BBB,2013B,120994,F,London Region,Lower Than A Level,30-40%,35-55,0,70,Y,Fail,-19.0,,6.0,88.33333333333333,0.0,2.0,12,740.0,34.0,8.0,0.5,1,30.0,True,False,True,False,high|broad|partial|mostly_late|persisted,1
BBB,2013B,122524,F,Wales,Lower Than A Level,20-30%,0-35,2,120,N,Fail,-68.0,,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1,20.0,False,True,True,True,none|none|none|none|persisted,1
BBB,2013B,123379,F,East Midlands Region,A Level or Equivalent,70-80%,0-35,1,180,N,Withdrawn,-131.0,-59.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,70.0,False,False,False,True,none|none|none|none|withdrew,1
BBB,2013B,123860,F,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,Y,Pass,-29.0,,11.0,77.9090909090909,0.5454545454545454,2.0,12,1292.0,94.0,9.0,0.9166666666666666,1,70.0,True,False,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,126322,F,Scotland,A Level or Equivalent,10-20,35-55,1,60,N,Pass,-106.0,,7.0,84.14285714285714,0.7142857142857143,2.0,12,526.0,52.0,7.0,0.5833333333333334,1,10.0,False,True,False,True,high|broad|partial|mostly_on_time|persisted,0
BBB,2013B,126411,F,West Midlands Region,Lower Than A Level,0-10%,0-35,2,60,Y,Fail,-124.0,,1.0,100.0,0.0,1.0,12,25.0,7.0,3.0,0.08333333333333333,1,0.0,True,True,True,True,low|moderate|partial|mostly_late|persisted,1
BBB,2013B,127209,F,Scotland,A Level or Equivalent,40-50%,0-35,1,180,Y,Withdrawn,-255.0,-225.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,40.0,True,False,False,True,none|none|none|none|withdrew,1
BBB,2013B,128776,F,Yorkshire Region,Lower Than A Level,40-50%,35-55,1,120,N,Withdrawn,-97.0,24.0,0.0,0.0,0.0,0.0,12,146.0,8.0,7.0,0.0,0,40.0,False,False,True,True,medium|broad|none|none|withdrew,1
BBB,2013B,133155,F,Yorkshire Region,HE Qualification,50-60%,35-55,0,60,N,Pass,-55.0,,11.0,93.0,0.45454545454545453,2.0,12,1360.0,61.0,7.0,0.9166666666666666,1,50.0,False,False,False,False,high|broad|complete|mostly_late|persisted,0
BBB,2013B,133531,F,Wales,Lower Than A Level,30-40%,0-35,0,60,N,Fail,-24.0,,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,1,30.0,False,False,True,False,none|none|none|none|persisted,1
BBB,2013B,133748,F,Scotland,Lower Than A Level,0-10%,35-55,0,70,N,Fail,-61.0,,6.0,76.0,0.5,2.0,12,408.0,45.0,8.0,0.5,1,0.0,False,True,True,False,medium|broad|partial|mostly_on_time|persisted,1
BBB,2013B,141823,F,East Midlands Region,A Level or Equivalent,0-10%,0-35,0,120,N,Withdrawn,-47.0,86.0,2.0,29.0,1.0,1.0,12,276.0,25.0,6.0,0.16666666666666666,0,0.0,False,True,False,False,medium|broad|partial|mostly_on_time|withdrew,1
BBB,2013B,142324,F,East Anglian Region,Lower Than A Level,30-40%,35-55,0,60,N,Fail,-23.0,,7.0,77.71428571428571,0.5714285714285714,2.0,12,199.0,11.0,6.0,0.5833333333333334,1,30.0,False,False,True,False,medium|broad|partial|mostly_on_time|persisted,1
BBB,2013B,143741,F,London Region,A Level or Equivalent,50-60%,0-35,0,120,Y,Distinction,-16.0,,11.0,86.0909090909091,0.5454545454545454,2.0,12,704.0,53.0,7.0,0.9166666666666666,1,50.0,True,False,False,False,high|broad|complete|mostly_on_time|persisted,0
BBB,2013B,143854,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Withdrawn,-23.0,27.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,0.0,0,10.0,False,True,True,False,none|none|none|none|withdrew,1
BBB,2013B,145544,M,East Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,-45.0,,11.0,86.0,0.5454545454545454,2.0,12,862.0,76.0,8.0,0.9166666666666666,1,20.0,False,True,False,False,high|broad|complete|mostly_on_time|persisted,0
